No.,Year of Incorporated,Industry,Paid-up Capital,Loan Status,Loan Amount,Loan Tenure,Non-Current Assets 2018,Non-Current Assets 2019,Current Assets 2018,Current Assets 2019,Total Assets 2018,Total Assets 2019,Current Liabilities 2018,Current Liabilities 2019,Total Liabilities 2018,Total Liabilities 2019,Share Capital 2018,Share Capital 2019,Retained Earnings 2018,Retained Earnings 2019,Networth 2018,Networth 2019,Revenue 2018,Revenue 2019,NPBT 2018,NPBT 2019,NPAT 2018,NPAT 2019
90,2000,CONSTRUCTION ,"90,000,001",BAD,"9,544",60,"16,567","8,285","268,677,069","287,689,525","268,693,636","287,697,810","136,964,688","131,769,614","180,654,034","191,671,685","90,000,000","90,000,000","-1,960,398","6,026,125","88,039,602","96,026,125","71,355,941","65,880,551","10,263,679","11,396,064","7,247,247","7,986,523"
91,1995,BUSINESS SERVICES ,"19,000,001",BAD,"15,674",59,"21,671,976","22,570,161","8,396,008","9,282,348","30,067,984","31,852,509","4,510,878","6,306,301","24,986,492","21,086,808","7,800,000","12,400,000","-2,718,508","-1,634,299","5,081,492","10,765,701","20,620,767","14,760,596","1,511,710","1,084,209","1,511,710","1,084,209"
92,2012,BUSINESS SERVICES ,"500,001",BAD,"19,980",59,n.a.,"83,877",n.a.,"3,640,299",n.a.,"3,724,176",n.a.,"1,227,510",n.a.,"1,237,848",n.a.,"50,000",n.a.,"2,436,328",n.a.,"2,486,328",n.a.,"7,576,493",n.a.,"3,230,482",n.a.,"2,436,328"
93,2010,BUSINESS SERVICES ,"500,001",BAD,"53,921",60,n.a.,n.a.,3,3,3,3,"6,526","8,314","6,526","8,314",3,3,"-6,526","-8,314","-6,523","-8,311",n.a.,n.a.,"-1,788","-1,788","-1,788","-1,788"
94,2010,BUSINESS SERVICES ,"850,001",BAD,"412,632",36,"365,610","706,387","344,117","522,590","709,727","1,228,977","631,902","1,120,787","634,174","1,121,361","100,000","100,000","-24,447","7,616","75,553","107,616","1,176,911","2,112,270","10,672","41,482","9,551","32,063"
95,1999,CONSTRUCTION ,"20,000,001",BAD,"67,407",60,"3,008,681","4,010,876","26,175,629","54,195,425","29,184,310","58,206,301","24,245,693","53,675,472","25,643,734","54,609,565","2,000,000","2,000,000","1,540,576","1,596,736","3,540,576","3,596,736","36,944,126","47,734,325","90,825","70,200","72,660","56,160"
96,2013,LAND TRANSPORT ,"500,000",BAD,"381,500",48,"378,904",n.a.,"752,328",n.a.,"1,131,232",n.a.,"77,238",n.a.,"541,616",n.a.,"500,000",n.a.,n.a.,n.a.,"589,616",n.a.,"2,327,535",n.a.,"50,529",n.a.,"26,868",n.a.
97,2008,LAND TRANSPORT ,"250,001",BAD,"179,660",36,"9,717","7,601","889,862","892,164","899,579","899,765","772,143","753,581","773,096","754,580","100,000","100,000","26,483","45,185","126,483","145,185","5,121,635","5,217,413","21,875","25,060","16,709","18,702"
98,2010,LAND TRANSPORT ,"500,001",BAD,"225,250",60,"1,578","1,052","804,990","1,434,601","806,568","1,435,653","300,929","923,261","300,929","923,261","500,000","500,000","5,639","12,392","505,639","512,392","1,013,733","2,236,303","11,492","10,228","8,554","6,753"
99,2010,BUSINESS SERVICES ,"1,000,001",BAD,"7,877",35,"4,067","4,327","6,248,364","7,803,013","6,252,431","7,807,340","1,017",n.a.,"4,014,277","4,506,910","1,000,000","1,000,000","1,238,154","2,299,413","2,238,154","3,299,413","12,085,290","15,025,985","1,582,374","1,505,916","1,182,118","1,061,259"
100,2010,BUSINESS SERVICES ,"500,001",BAD,"13,108",60,"213,232","209,204","1,056,991","742,181","1,270,223","951,385","977,514","588,681","1,047,951","705,178","500,000","500,000","-277,728","-253,793","222,272","246,207","1,373,270","1,551,058","8,125","23,935","8,125","23,935"
101,1994,CONSTRUCTION ,"500,001",BAD,"170,000",48,"134,763","144,305","490,513","470,970","625,276","615,275","379,024","378,965","408,313","400,777","300,000","300,000","-83,037","-85,502","216,963","214,498","1,340,645","1,876,706","39,783","-2,465","30,620","-2,465"
102,2009,BUSINESS SERVICES ,"470,001",GOOD,"13,324",59,"32,393","402,288","353,198","171,307","385,591","573,595","194,400","110,257","195,651","381,021","150,000","150,000","39,940","42,574","189,940","192,574","886,172","831,999","18,844","6,823","13,382","2,634"
103,1996,BUSINESS SERVICES ,"756,001",GOOD,"34,860",59,"2,068,021","1,869,188","10,552,782","8,866,146","12,620,803","10,735,334","2,867,967","3,201,915","4,082,638","4,197,426","756,000","756,000","7,782,165","5,781,908","8,538,165","6,537,908","23,804,179","20,453,796","797,722","-2,080,657","522,785","-2,000,257"
104,1988,BUSINESS SERVICES ,"1,650,001",GOOD,"168,000",48,"31,376,215","29,704,828","11,761,244","19,660,923","43,137,459","49,365,751","6,703,346","13,084,780","24,926,058","30,009,685","1,650,000","1,650,000","16,561,401","17,706,066","18,211,401","19,356,066","12,348,455","18,800,629","2,100,047","1,483,360","1,582,863","1,343,415"
105,1997,BUSINESS SERVICES ,"500,001",GOOD,"21,997",60,"1,553,225","1,544,757","7,976,332","11,177,569","9,529,557","12,722,326","7,838,493","9,348,572","7,977,161","9,372,870","500,000","500,000","1,052,396","2,849,456","1,552,396","3,349,456","36,104,111","33,066,942","2,670,618","2,271,939","2,670,618","1,797,060"
106,2002,BUSINESS SERVICES ,"1,500,001",GOOD,"7,277,650",36,"4,214,666","6,737,459","1,025,275","1,104,667","5,239,941","7,842,126","853,401","2,167,157","1,736,861","3,963,960","1,500,000","1,500,000","2,003,080","2,378,167","3,503,080","3,878,167","3,925,734","4,550,743","533,980","479,113","375,512","375,086"
107,2012,BUSINESS SERVICES ,"1,000,001",GOOD,"16,057",36,n.a.,n.a.,n.a.,"312,232",n.a.,"312,232",n.a.,"5,743",n.a.,"5,743",n.a.,"305,000",n.a.,"1,489",n.a.,"306,489",n.a.,"147,578",n.a.,"2,432",n.a.,"1,489"
108,1989,BUSINESS SERVICES ,"4,580,001",GOOD,"22,204",59,"3,848,650","3,979,016","7,968,566","7,175,968","11,817,216","11,154,984","5,015,663","3,851,474","5,146,835","4,013,196","2,500,000","2,500,000","4,170,381","4,641,788","6,670,381","7,141,788","20,795,309","23,088,952","360,789","614,257","219,546","471,407"
109,1997,BUSINESS SERVICES ,"600,001",GOOD,"111,024",60,"1,814,165","4,885,478","1,102,134","1,353,470","2,916,299","6,238,948","1,728,799","2,932,482","2,482,224","5,692,223","500,000","500,000","-65,925","46,725","434,075","546,725","5,849,989","7,790,753","151,703","265,085","25,381","112,650"
110,2004,BUSINESS SERVICES ,11,GOOD,"16,605",60,"46,307","40,253","266,260","185,218","312,567","225,471","1,072,803","996,479","1,089,696","1,008,226",10,10,"-777,139","-782,765","-777,129","-782,755","481,896","715,415","-130,165","-5,626","-130,165","-5,626"
111,1998,BUSINESS SERVICES ,"10,417,692",GOOD,"9,768",59,"565,461","406,161","3,786,606","3,745,248","4,352,067","4,151,409","3,923,831","3,526,650","4,214,970","3,711,379","4,718,741","5,981,125","-4,581,644","-5,541,095","137,097","440,030","3,595,858","3,295,420","-241,443","-942,918","-241,443","-959,451"
112,2008,BUSINESS SERVICES ,"3,966,668",GOOD,"15,544",59,"736,363","3,808,681","2,318,091","1,226,215","3,054,454","5,034,896","53,382","2,894,071","53,382","2,894,071","833,334","3,966,667","-965,595","-1,825,842","3,001,072","2,140,825",n.a.,"201,277","-395,124","-860,247","-395,124","-860,247"
113,2004,BUSINESS SERVICES ,"350,001",GOOD,"47,427",59,"1,272,229","909,505","2,576,796","2,893,293","3,849,025","3,802,798","2,725,363","2,681,959","3,179,602","3,101,303","350,000","350,000","319,423","351,495","669,423","701,495","10,506,275","10,570,088","198,809","23,899","-20,591","32,072"
114,2009,BUSINESS SERVICES ,"1,850,001",GOOD,"19,777",60,n.a.,"306,617",n.a.,"5,343,285",n.a.,"5,649,902",n.a.,"2,881,251",n.a.,"5,358,728",n.a.,"300,000",n.a.,"-8,826",n.a.,"291,174",n.a.,"7,328,566",n.a.,"-116,871",n.a.,"-124,637"
115,1985,BUSINESS SERVICES ,"300,001",GOOD,"12,876",59,"51,714","41,963","248,242","344,711","299,956","386,674","170,137","249,791","171,937","251,591","300,000","300,000","-171,981","-164,917","128,019","135,083","2,551,120","2,339,599","-11,369","12,662","-18,968","7,064"
116,2010,BUSINESS SERVICES ,3,GOOD,"122,800",36,"8,823","10,454","1,101,121","1,311,290","1,109,944","1,321,744","297,171","56,158","299,371","58,758",2,2,"810,571","1,262,984","810,573","1,262,986","839,216","879,692","559,410","571,913","444,010","452,413"
117,2006,BUSINESS SERVICES ,"1,000,001",GOOD,"210,000",30,"1,638,689","1,448,529","2,073,807","1,938,485","3,712,496","3,387,014","1,857,465","1,531,289","2,388,902","2,006,436","250,000","250,000","1,073,594","1,130,578","1,323,594","1,380,578","6,353,687","3,867,020","321,155","34,721","212,046","56,984"
118,2006,BUSINESS SERVICES ,3,GOOD,"62,596",60,n.a.,"9,183","274,826","1,334,309","274,826","1,343,492","250,246","1,600,043","250,246","1,600,043",2,2,"24,578","-256,553","24,580","-256,551","16,650","1,796,195","9,725","-281,131","9,725","-281,131"
119,1997,BUSINESS SERVICES ,"300,001",GOOD,"965,310",21,"1,213,986","1,230,374","288,458","423,936","1,502,444","1,654,310","1,205,064","1,503,684","1,595,380","1,729,141","300,000","300,000","-392,936","-374,831","-92,936","-74,831","917,992","1,854,118","14,535","36,767","2,396","18,105"
120,2004,BUSINESS SERVICES ,"250,001",GOOD,"264,000",44,"762,073","832,556","391,786","585,070","1,153,859","1,417,626","532,894","820,505","814,083","1,091,779","250,000","250,000","89,776","75,847","339,776","325,847","1,079,085","1,208,106","19,549","-5,501","12,624","-13,929"
121,2013,BUSINESS SERVICES ,"400,002",GOOD,"158,400",36,"9,486","139,175","800,247","983,838","809,733","1,123,013","747,644","795,040","747,644","896,463",100,"100,000","61,989","126,550","62,089","226,550","3,094,008","3,617,610","79,807","96,794","61,989","64,561"
122,2009,BUSINESS SERVICES ,"100,002",GOOD,"1,309,000",36,"138,124","127,642","147,015","234,319","285,139","361,961","364,443","468,364","364,443","468,364","100,000","100,000","-179,304","-206,403","-79,304","-106,403","191,874","352,860","-140,858","-27,099","-83,267","-27,099"
123,1996,BUSINESS SERVICES ,"1,100,002",GOOD,"7,840",60,"1,872,743","1,771,423","7,178,424","7,818,175","9,051,167","9,589,598","5,899,237","4,462,285","6,911,543","6,647,485","707,000","1,100,000","1,432,624","1,842,113","2,139,624","2,942,113","6,859,525","6,274,815","469,592","573,029","341,867","409,489"
124,1987,BUSINESS SERVICES ,"500,002",GOOD,"508,590",36,"5,584,504","5,619,934","9,884,817","9,157,235","15,469,321","14,777,169","6,917,673","5,154,954","10,820,887","9,245,053","500,000","500,000","4,148,434","5,032,116","4,648,434","5,532,116","16,343,112","14,039,159","490,385","1,289,571","242,941","883,682"
125,1974,BUSINESS SERVICES ,"1,102",GOOD,"31,350",60,"55,443","55,150","1,240,268","1,151,648","1,295,711","1,206,798","532,756","528,042","532,756","532,208","1,100","1,100","761,855","673,490","762,955","674,590","415,711","396,881","-56,961","-84,199","-56,961","-88,365"
126,2008,BUSINESS SERVICES ,"2,000,002",GOOD,"5,000,000",60,"1,333",333,"6,503,252","1,662,848","6,504,585","1,663,181","3,397,203","1,306,312","3,397,203","1,306,312","20,000","20,000","3,087,382","336,869","3,107,382","356,869","9,638,438","77,000","2,999,555","-770,055","2,265,286","-750,513"
127,2012,BUSINESS SERVICES ,"500,002",GOOD,"11,498",60,"24,716","42,266","1,422,897","2,465,123","1,447,613","2,507,389","814,728","948,135","818,028","1,367,738","200,000","200,000","429,585","639,651","629,585","1,139,651","10,868,686","13,959,867","347,952","364,658","264,498","287,066"
128,1984,BUSINESS SERVICES ,"100,002",GOOD,"32,000",36,"649,069","853,177","2,883,634","3,381,719","3,532,703","4,234,896","1,132,584","1,250,261","1,204,125","1,351,435","100,000","100,000","2,118,481","2,540,673","2,218,481","2,640,673","5,158,953","5,802,359","849,154","634,760","633,276","422,192"
129,2012,BUSINESS SERVICES ,"640,002",GOOD,"486,250",48,"1,843,982","2,699,952","727,199","717,895","2,571,181","3,417,847","1,395,289","1,481,256","2,519,909","3,145,466",2,"375,002","51,270","-102,621","51,272","272,381","597,300","1,195,900","25,787","-146,069","25,787","-153,891"
130,2011,BUSINESS SERVICES ,"40,000",GOOD,"8,389",59,"254,316","157,605","1,758,740","1,657,307","2,013,056","1,814,912","842,164","801,719","1,030,831","939,696","40,000","40,000","942,225","835,216","982,225","875,216","2,526,864","2,347,481","75,673","-30,710","63,526","-47,009"
131,1988,BUSINESS SERVICES ,"500,000",GOOD,"108,900",36,"1,064,627","1,038,770","4,464,951","3,559,014","5,529,578","4,597,784","2,537,515","1,893,740","4,418,368","3,419,036","500,000","500,000","611,210","678,748","1,111,210","1,178,748","11,398,534","11,731,147","144,141","111,692","97,616","67,538"
132,2013,BUSINESS SERVICES ,"1,000,000",GOOD,"13,678",60,"8,326,927","18,323,567","13,255,882","19,003,226","21,582,809","37,326,793","4,867,358","9,097,644","10,851,030","22,086,425","500,000","1,000,000","10,231,779","14,242,365","10,731,779","15,242,365","42,418,386","38,197,890","9,237,188","7,599,208","7,005,185","5,708,588"
133,2007,BUSINESS SERVICES ,"1,000,001",GOOD,"4,517,976",48,"3,130,356","5,517,691","1,846,577","2,888,992","4,976,933","8,406,683","1,940,341","2,841,128","3,363,827","5,262,783","800,000","800,000","813,106","2,343,900","1,613,106","3,143,900","3,129,037","6,253,280","875,245","1,946,225","753,406","1,530,794"
134,1994,BUSINESS SERVICES ,"100,001",GOOD,"44,000",36,1,479,"210,438","230,367","210,439","230,846","188,591","194,788","188,591","194,884","100,000","100,000","-78,152","-64,038","21,848","35,962","555,978","601,214","16,912","18,510","12,674","14,114"
135,2005,BUSINESS SERVICES ,"253,001",GOOD,"173,600",36,"1,553,615","1,912,850","1,265,138","1,112,559","2,818,753","3,025,409","1,568,076","1,300,996","2,405,185","2,601,054","253,000","253,000","160,568","171,355","413,568","424,355","2,337,258","2,898,979","6,464","27,484","-7,337","10,787"
136,1997,BUSINESS SERVICES ,"50,104",GOOD,"7,769",59,"65,365","29,050","257,902","337,550","323,267","366,600","113,636","98,517","125,958","101,069","50,103","50,103","147,206","215,428","197,309","265,531","1,859,897","2,033,040","4,814","86,706","-6,412","68,222"
137,2013,BUSINESS SERVICES ,"300,002",GOOD,"59,864",12,"1,590,052","1,624,674","781,020","567,321","2,371,072","2,191,995","1,001,115","1,025,869","1,944,928","1,796,679","300,000","300,000","126,144","95,316","426,144","395,316","3,965,290","4,890,197","171,144","-30,828","126,144","-30,828"
138,2012,BUSINESS SERVICES ,"350,002",GOOD,"150,000",36,"25,795","3,485,827","3,193,520","3,120,032","3,219,315","6,605,859","2,511,693","2,854,804","2,515,193","5,419,965",100,"100,000","704,022","1,085,894","704,122","1,185,894","11,233,980","10,332,971","641,622","542,670","500,333","381,872"
139,2014,BUSINESS SERVICES ,"100,000",GOOD,"36,000",24,"99,275","85,092","581,379","390,308","680,654","475,400","649,463","417,408","650,118","417,626","1,000","1,000","29,536","56,774","30,536","57,774","1,208,934","1,006,908","26,528","37,369","18,740","27,238"
140,2015,BUSINESS SERVICES ,"3,600,002",GOOD,"56,000",24,n.a.,"2,977,225",n.a.,"2,926,259",n.a.,"5,903,484",n.a.,"4,623,338",n.a.,"4,623,338",n.a.,"1,800,000",n.a.,"-519,854",n.a.,"1,280,146",n.a.,"2,116,273",n.a.,"-519,854",n.a.,"-519,854"
141,2006,CONSTRUCTION ,"2,000,002",GOOD,"2,158,622",48,"4,572,535","6,390,040","7,036,850","5,180,161","11,609,385","11,570,201","7,991,904","6,995,213","10,041,720","10,380,405","250,000","250,000","1,317,665","939,796","1,567,665","1,189,796","20,025,731","10,062,277","1,075,984","-377,869","795,915","-377,869"
142,2002,CONSTRUCTION ,"2,050,002",GOOD,"185,500",48,"1,467,720","2,080,909","1,979,134","1,324,489","3,446,853","3,405,398","3,244,093","3,123,693","3,300,784","3,393,747","1,050,000","1,050,000","-903,931","-1,038,349","146,069","11,651","3,301,405","3,595,892","-208,951","-126,827","-200,357","-134,418"
143,1986,CONSTRUCTION ,"1,260,002",GOOD,"13,568",60,"15,373,398","18,635,890","22,195,615","18,602,991","37,569,013","37,238,881","17,058,919","17,908,662","26,934,223","28,474,280","1,260,000","1,260,000","7,456,357","7,331,687","8,716,357","8,591,687","26,172,178","17,414,869","7,943,655","250,881","4,826,050","275,330"
144,2009,CONSTRUCTION ,"79,499,915",GOOD,"12,948",59,"10,316,282","15,037,261","143,926,399","204,920,784","154,242,681","219,958,045","59,910,759","136,501,052","139,249,294","196,780,197","5,000,000","5,000,000","9,993,387","18,177,848","14,993,387","23,177,848","197,510,362","316,429,241","27,093,863","27,398,114","20,329,885","25,448,781"
145,2002,CONSTRUCTION ,"100,002",GOOD,"548,400",44,"911,054","853,200","2,404,169","1,018,561","3,315,223","1,871,761","2,887,933","1,355,807","3,310,539","1,953,781","100,000","100,000","-95,316","-182,020","4,684","-82,020","1,902,902","1,203,182","-124,051","-90,890","-104,744","-86,704"
146,1982,CONSTRUCTION ,"5,000,002",GOOD,"2,970,000",36,"15,507,344","26,655,923","34,035,599","33,402,620","49,542,943","60,058,543","32,383,973","40,911,880","36,006,866","44,436,173","5,000,000","5,000,000","8,536,077","10,622,370","13,536,077","15,622,370","94,757,621","76,653,368","5,087,556","3,581,293","3,130,323","2,086,293"
147,2001,CONSTRUCTION ,"1,250,002",GOOD,"149,200",39,"384,540","436,418","1,476,596","1,312,967","1,861,136","1,749,385","465,103","358,976","713,484","645,877","1,250,000","1,250,000","-102,348","-146,492","1,147,652","1,103,508","1,150,021","759,853","149,610","-32,757","124,304","-44,144"
148,2005,CONSTRUCTION ,"1,000,002",GOOD,"926,620",36,"5,132,612","6,494,211","5,067,227","7,917,969","10,199,839","14,412,180","7,271,186","9,804,805","10,400,318","13,681,704","260,000","900,000","-460,479","-169,524","-200,479","730,476","9,757,033","13,998,625","-323,447","606,827","-477,866","290,955"
149,2013,CONSTRUCTION ,"750,002",GOOD,"350,000",36,"2,463,220","4,647,467","4,045,653","6,283,194","6,508,873","10,930,662","3,880,752","5,597,097","5,349,659","7,566,319","750,000","750,000","409,214","2,614,342","1,159,214","3,364,342","7,569,293","21,220,141","458,807","2,933,365","355,177","2,205,128"
150,2011,CONSTRUCTION ,"2,000,002",GOOD,"528,204",44,"2,518","61,880,512","25,466,811","30,472,402","25,469,329","92,352,914","21,056,656","38,775,936","21,057,286","79,578,492","2,000,000","2,000,000","2,412,043","10,774,422","4,412,043","12,774,422","40,519,107","48,741,485","1,611,983","11,087,985","1,162,600","8,314,516"
151,2008,CONSTRUCTION ,"750,002",GOOD,"267,200",48,"56,859","26,038","2,450,338","3,162,422","2,507,197","3,188,460","1,371,407","1,746,303","1,468,208","1,810,456","750,000","750,000","288,989","637,336","1,038,989","1,387,336","1,519,724","2,550,748","165,416","465,455","123,571","348,347"
152,2008,CONSTRUCTION ,"750,002",GOOD,"725,200",36,"21,240,816","23,075,061","56,294,704","62,416,935","77,535,520","85,491,996","58,572,860","54,038,587","61,260,153","54,659,711","750,000","750,000","15,525,367","30,082,285","16,275,367","30,832,285","134,766,033","98,145,411","11,169,089","13,828,681","6,985,517","10,529,709"
153,2011,CONSTRUCTION ,"750,002",GOOD,"885,866",51,"10,837","415,030","669,694","4,268,403","680,531","4,683,433","93,366","3,144,340","195,080","3,651,831","500,000","650,000","-14,549","381,602","485,451","1,031,602","584,680","12,331,094","21,931","496,612","19,378","396,151"
154,1984,CONSTRUCTION ,"300,002",GOOD,"261,000",42,"1,068,091","1,540,897","1,070,040","1,756,858","2,138,131","3,297,755","1,590,925","2,525,379","1,864,734","3,073,759","200,000","200,000","73,397","23,996","273,397","223,996","1,612,422","1,453,418","-98,265","-48,253","-43,160","-49,401"
